"BehaviorSpace results (NetLogo 5.1.0)"
"Ethnocentrism.nlogo"
"empty"
"04/18/2015 17:53:03:300 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","gain-of-receiving","initial-ptr","immigrants-per-day","immigrant-chance-cooperate-with-same","mutation-rate","cost-of-giving","immigrant-chance-cooperate-with-different","death-rate","max-pxcor","max-pycor","[step]","cc-sum","cd-sum","dc-sum","dd-sum"
"60","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","183","350","28","77"
"58","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","134","407","15","74"
"62","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","104","443","14","51"
"63","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","66","433","24","51"
"64","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","79","477","11","24"
"66","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","73","482","25","49"
"67","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","129","355","49","41"
"68","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","75","384","34","59"
"65","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","124","332","37","108"
"69","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","91","346","16","128"
"71","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","104","416","41","74"
"70","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","152","377","29","35"
"73","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","186","278","41","76"
"74","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","42","467","45","21"
"75","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","49","380","46","83"
"72","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","77","480","8","49"
"76","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","103","448","14","38"
"77","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","114","407","28","77"
