#CC,CD,DD,DC
97,111,39,16
97,106,34,19
98,103,34,20
99,106,37,20
94,104,37,21
97,99,38,21
100,104,41,23
97,107,39,25
99,106,42,24
95,115,42,28
95,113,44,28
98,103,45,29
100,105,45,30
97,108,47,31
102,110,46,32
100,115,46,30
97,113,48,30
103,108,51,28
96,117,48,30
99,109,49,30
97,114,45,31
98,108,41,30
95,104,37,30
88,104,36,27
86,111,35,31
88,115,38,30
91,106,41,32
85,113,44,30
88,117,43,28
88,114,37,23
85,114,40,23
92,115,39,23
89,114,39,26
87,114,41,24
84,121,37,24
88,124,35,26
85,114,35,28
84,113,33,30
88,114,34,28
85,122,36,32
92,115,35,35
91,118,35,33
100,117,39,31
104,117,43,28
106,117,46,30
113,115,45,28
111,116,42,27
110,120,37,33
108,111,32,34
113,113,32,35
114,112,30,38
101,109,32,37
102,111,32,36
106,112,29,40
108,116,26,41
111,110,24,39
108,112,22,39
105,113,24,39
110,119,25,36
99,117,21,33
93,108,20,34
89,110,19,34
90,104,19,31
87,105,18,31
95,107,18,31
91,113,20,28
93,114,17,32
94,110,15,37
99,111,14,39
100,109,13,38
101,117,12,40
100,118,11,39
108,118,12,41
105,123,12,38
112,118,12,37
109,115,15,35
102,117,15,35
112,118,18,39
112,126,17,34
113,123,19,34
114,118,19,35
119,121,19,36
117,124,21,33
121,121,19,31
119,121,16,34
121,126,16,31
124,126,16,32
133,123,18,30
122,124,21,29
128,127,20,28
130,129,19,26
128,126,20,22
123,114,19,22
128,123,16,23
129,121,15,24
128,120,15,25
128,124,15,26
124,128,16,23
120,127,15,25
118,137,11,22
114,138,10,21
117,140,8,22
112,139,10,24
108,136,9,29
102,132,10,31
100,132,13,35
106,133,15,36
114,126,15,34
111,131,15,34
119,133,16,33
106,133,16,32
101,119,13,33
100,128,14,31
92,135,13,32
96,129,13,30
88,131,12,27
88,131,13,30
82,132,16,26
83,143,15,28
82,150,13,24
87,154,15,24
90,161,14,25
92,158,12,29
95,162,12,31
91,165,12,32
87,168,14,29
81,171,14,31
79,173,14,28
75,182,15,29
70,177,15,25
73,184,19,25
70,178,17,26
67,179,16,27
62,176,20,26
60,171,22,25
60,175,19,25
55,170,15,27
54,167,17,29
57,158,18,30
61,162,20,31
58,161,17,35
58,163,16,38
58,170,17,37
57,170,17,40
57,173,18,34
59,167,17,35
58,168,18,36
53,178,17,34
55,179,19,33
59,173,19,34
63,184,19,34
56,183,18,29
60,190,19,29
62,182,20,31
62,185,21,31
64,181,20,31
61,182,20,29
62,189,23,29
61,188,22,32
59,186,22,31
61,178,23,31
63,178,22,30
64,178,20,32
61,183,21,31
62,183,22,32
60,177,23,35
60,175,21,38
60,160,23,40
63,162,20,41
65,158,24,47
67,158,27,37
68,157,28,33
64,162,28,27
57,167,26,24
58,159,26,24
71,163,28,21
72,155,32,21
65,148,31,21
66,148,32,20
67,147,31,20
62,146,30,20
60,150,28,21
59,151,29,20
60,147,32,20
62,152,32,19
65,150,27,20
65,141,27,19
66,142,29,19
62,136,28,19
62,130,29,20
62,126,28,17
61,130,28,17
64,135,26,16
60,133,27,17
60,130,29,15
59,138,28,17
68,134,25,15
65,133,23,15
69,134,26,15
71,143,27,14
66,146,25,12
62,143,25,14
65,147,23,14
66,153,26,15
73,156,25,18
69,147,22,18
74,145,26,19
75,146,26,18
76,143,26,17
77,141,25,17
79,132,26,17
80,135,27,18
80,139,32,20
82,147,31,15
78,147,27,14
78,151,30,12
74,146,27,12
75,145,28,13
79,150,28,14
79,154,25,11
84,150,25,11
81,151,26,13
86,144,27,11
86,143,24,12
83,145,24,12
75,149,24,12
72,148,26,13
73,154,26,14
65,150,25,12
58,150,25,13
60,153,23,14
56,161,25,10
61,162,26,12
58,152,26,10
58,154,28,9
63,151,29,7
63,153,28,7
65,157,24,9
65,160,26,9
64,160,27,10
62,161,26,10
65,154,27,9
71,152,31,11
61,156,30,12
56,155,30,13
53,161,32,13
53,162,35,13
48,172,36,13
47,177,39,12
47,167,32,12
43,172,33,8
45,180,32,8
41,182,35,8
47,175,38,8
52,172,36,8
51,163,38,8
48,176,35,9
48,179,37,9
53,174,32,9
52,171,31,11
55,172,29,14
56,170,26,15
50,165,30,16
48,164,30,17
46,160,34,16
44,166,35,18
45,163,36,18
50,157,38,21
44,147,36,21
46,148,38,20
41,143,35,17
36,147,34,18
38,136,32,17
43,131,35,19
42,136,34,18
45,139,31,17
49,143,31,18
53,145,30,18
50,149,29,21
49,152,29,21
52,159,27,24
49,151,27,25
52,141,27,21
50,136,26,25
55,136,29,27
55,150,31,24
53,154,27,24
55,156,26,25
57,158,30,24
58,157,32,26
54,154,28,24
57,154,33,23
55,151,31,25
52,150,36,23
51,149,34,29
53,151,33,26
53,158,31,25
50,152,29,25
52,140,29,26
49,141,32,25
49,143,30,24
50,148,29,23
46,153,27,24
46,160,26,25
44,161,27,25
43,165,27,28
46,159,28,30
51,156,30,33
48,161,30,28
46,166,32,27
46,169,28,30
45,172,27,26
48,176,25,30
51,174,28,29
54,169,27,32
51,166,27,28
57,166,33,31
55,161,30,30
58,159,28,32
63,169,32,31
59,170,30,32
55,170,30,31
51,173,26,32
46,174,27,31
49,172,26,29
49,172,25,31
50,174,25,25
47,178,26,24
46,178,26,25
45,176,25,21
45,178,23,24
42,179,23,26
38,175,24,25
44,185,28,26
38,186,27,31
45,193,26,29
42,189,24,31
41,192,22,29
44,189,18,31
48,184,18,30
52,179,16,29
53,187,14,32
52,196,14,35
56,190,11,30
56,193,11,30
54,193,11,27
51,186,11,28
52,185,7,26
49,182,8,25
47,184,9,21
48,184,11,24
48,181,12,20
50,173,12,21
47,160,16,18
50,168,15,23
51,165,16,22
54,172,14,22
54,171,16,24
53,170,15,24
55,176,16,25
58,175,12,28
56,170,14,27
58,179,13,28
57,182,13,27
59,180,14,24
56,185,16,26
49,178,22,25
46,182,21,25
50,185,18,25
48,180,19,26
46,179,19,23
43,179,19,22
43,184,19,21
45,181,18,22
46,183,19,23
42,180,18,22
45,172,19,16
41,173,21,17
39,173,21,17
43,190,25,18
44,181,24,15
45,177,22,17
42,169,20,16
46,165,23,16
47,163,22,15
49,173,22,15
49,171,23,13
44,167,22,14
43,162,27,10
46,165,27,13
41,161,28,13
41,167,27,11
46,169,31,11
51,172,33,10
52,174,30,10
52,174,35,7
50,177,37,5
48,185,35,5
47,179,37,5
46,177,37,5
47,173,38,6
47,179,36,4
48,176,35,4
49,167,30,5
44,172,28,5
44,168,24,5
44,165,24,5
47,169,25,4
50,173,26,5
49,178,30,4
43,184,29,4
44,179,31,5
44,182,33,5
43,177,31,5
40,175,35,5
35,178,37,5
38,173,35,5
38,167,34,6
39,180,31,8
34,177,32,8
36,190,32,7
38,183,31,6
37,170,30,6
42,168,34,6
45,162,32,6
43,159,33,5
43,162,36,4
44,165,34,4
46,171,34,3
44,167,35,4
40,169,33,2
40,166,31,2
39,168,28,2
42,166,26,3
41,159,27,3
39,166,31,3
40,170,35,3
38,177,33,4
37,183,34,4
35,179,35,6
35,190,32,7
30,189,33,7
31,189,32,7
32,188,32,6
29,185,34,6
30,189,34,8
31,191,37,7
34,199,38,7
35,187,37,6
38,190,35,5
39,185,34,6
38,184,34,5
37,184,33,5
38,186,30,4
40,190,29,4
36,192,30,3
37,195,29,5
33,186,31,4
31,187,33,4
33,178,34,4
35,178,32,4
36,179,25,4
38,182,25,5
41,176,27,5
42,179,27,7
46,172,23,7
42,179,23,7
42,191,20,8
42,200,19,7
40,198,20,7
38,201,20,6
35,208,19,5
35,207,20,6
35,210,22,4
35,217,20,5
37,206,26,4
37,210,26,4
36,207,26,4
38,209,26,4
37,217,29,4
37,212,30,5
36,204,31,5
35,212,30,5
35,205,27,4
37,205,27,4
32,198,24,4
31,194,24,5
36,195,23,5
32,197,22,5
31,196,22,4
28,188,22,5
29,192,21,7
31,199,19,7
36,202,20,8
40,207,21,8
37,205,20,9
36,206,18,8
34,210,18,9
31,208,20,9
34,217,21,9
36,206,21,9
33,212,21,8
36,206,20,7
36,209,21,7
32,210,20,7
30,204,22,7
32,224,22,7
31,222,24,6
33,212,27,5
33,214,23,5
32,216,25,6
31,215,21,5
33,200,24,5
37,203,26,4
35,211,31,5
32,214,28,6
31,211,29,7
28,204,24,9
28,199,22,8
29,198,19,8
32,199,19,7
32,202,19,6
32,218,18,7
33,217,19,6
32,217,22,7
34,216,21,7
34,220,24,9
35,219,23,9
30,220,24,10
29,215,24,10
26,227,26,10
22,224,25,11
20,223,25,12
18,225,23,9
18,222,24,9
18,220,26,9
19,216,31,9
19,204,28,11
25,205,29,14
22,206,32,15
24,199,32,15
24,199,29,15
31,204,28,17
27,203,28,16
26,204,23,16
25,196,27,15
23,197,25,14
24,189,29,13
25,192,32,11
